column_name,data_type,description,business_meaning,example_value,related_kpi,notes
customer_id,integer,Unique identifier for each customer record,Customer ID in CRM system — links all transactions to a single customer,12456,Customer tracking | Lifetime value calculation,Primary key — never null. Assigned at CRM account creation.
trnx_amt,float,Transaction amount in USD at point of sale,Revenue generated by a single completed purchase,150.99,Monthly revenue | Average transaction value | Customer lifetime value,Amount paid by customer in USD. Very rare to be null — investigate if found.
purchase_date,datetime,Timestamp of when the transaction was recorded,Date and time the sale was completed and revenue was recognised,2025-01-15 10:32:00,Sales velocity | Revenue trend | Cohort analysis,Stored in UTC. Convert to local timezone before user-facing reporting. Never null.
cust_segment,string,Customer classification label assigned by CRM,Business market segment determining go-to-market strategy and pricing,B2B,Segment profitability | Segment churn rate | Segment revenue,Valid values: B2B | B2C | SMB. Updated monthly by CRM classification job. Null → classify as UNKNOWN.
flag_churn,integer,Binary churn indicator (0 = retained 1 = churned),Whether the customer cancelled or stopped purchasing within 90 days of this transaction,0,Churn rate | Retention rate | Churn prediction model accuracy,Target variable for ML retention models. 1 = customer churned within 90 days. 0 = still active. Historical label — not a real-time flag.
event_type,string,Type of user interaction event captured on the platform,Action the user took — drives engagement and funnel analysis,enrollment,Engagement rate | Funnel conversion | Feature adoption,Valid values: search | preview | enrollment. Null means event was not categorised — treat as unknown.
course_id,string,Unique identifier for each course in the platform catalogue,Specific course the user interacted with — links to course performance metrics,CRS_101,Course popularity | Completion rate | Revenue by course,Foreign key to course catalogue. Null for search events where no course was selected.
course_name,string,Human-readable display name of the course,Business name of the product the user engaged with — used in stakeholder reports,Full Stack Web Development,Product revenue | Enrolment count | Course profitability,Null for search events. May change over time — use course_id as the stable reference.
category,string,Subject-matter category of the course,Broad learning domain used for catalogue segmentation and recommendation logic,Web Development,Category revenue | Category demand | Content gap analysis,Valid examples: Web Development | Data Science | Cloud Computing | Software Architecture.
days_since_last_purchase,integer,Number of days elapsed since the customer's most recent transaction,Recency metric — key input to churn prediction and re-engagement campaigns,417,Recency score | Churn risk tier | Win-back campaign targeting,Computed at pipeline run time. Higher value = greater churn risk. Threshold: >90d = High risk.
