customer_type,month,unique_customers,transaction_count,monthly_revenue,avg_transaction_value
B2C,2024-06-01,50,53,6561.65,123.8
B2B,2024-06-01,29,32,6345.46,198.3
SMB,2024-06-01,26,28,4608.47,164.59
Enterprise,2024-06-01,14,15,2487.58,165.84
B2C,2024-05-01,261,421,69658.91,165.46
B2B,2024-05-01,147,247,41501.7,168.02
SMB,2024-05-01,116,170,24904.4,146.5
Enterprise,2024-05-01,59,92,13447.69,146.17
B2C,2024-04-01,246,383,61888.69,161.59
B2B,2024-04-01,165,262,45089.05,172.1
SMB,2024-04-01,107,168,29220.7,173.93
Enterprise,2024-04-01,60,92,15729.35,170.97
B2C,2024-03-01,252,395,65266.94,165.23
B2B,2024-03-01,160,276,44758.82,162.17
SMB,2024-03-01,112,175,27139.54,155.08
Enterprise,2024-03-01,55,82,13466.54,164.23
B2C,2024-02-01,258,394,65648.04,166.62
B2B,2024-02-01,146,226,38179.32,168.94
SMB,2024-02-01,107,163,27500.79,168.72
Enterprise,2024-02-01,51,86,11714.47,136.21
B2C,2024-01-01,235,385,63487.88,164.9
B2B,2024-01-01,150,248,45571.89,183.76
SMB,2024-01-01,107,196,32137.18,163.97
Enterprise,2024-01-01,67,107,16645.93,155.57
