customer_id,customer_type,signup_date,issue,order_id,order_date,order_amount
24,Startup,2023-01-08,customer_no_orders,,,
51,Enterprise,2023-01-17,customer_no_orders,,,
80,Enterprise,2023-01-27,customer_no_orders,,,
133,Enterprise,2023-02-14,customer_no_orders,,,
346,Startup,2023-04-26,customer_no_orders,,,
539,Startup,2023-06-29,customer_no_orders,,,
545,Startup,2023-07-01,customer_no_orders,,,
697,Startup,2023-08-21,customer_no_orders,,,
812,SMB,2023-09-28,customer_no_orders,,,
901,Enterprise,2023-10-28,customer_no_orders,,,
902,Enterprise,2023-10-28,customer_no_orders,,,
903,Enterprise,2023-10-28,customer_no_orders,,,
904,Startup,2023-10-29,customer_no_orders,,,
905,Startup,2023-10-29,customer_no_orders,,,
906,SMB,2023-10-29,customer_no_orders,,,
907,SMB,2023-10-30,customer_no_orders,,,
908,Startup,2023-10-30,customer_no_orders,,,
909,Startup,2023-10-30,customer_no_orders,,,
910,Startup,2023-10-31,customer_no_orders,,,
911,Startup,2023-10-31,customer_no_orders,,,
912,Startup,2023-10-31,customer_no_orders,,,
913,Startup,2023-11-01,customer_no_orders,,,
914,Startup,2023-11-01,customer_no_orders,,,
915,Startup,2023-11-01,customer_no_orders,,,
916,Startup,2023-11-02,customer_no_orders,,,
917,Startup,2023-11-02,customer_no_orders,,,
918,Enterprise,2023-11-02,customer_no_orders,,,
919,SMB,2023-11-03,customer_no_orders,,,
920,Enterprise,2023-11-03,customer_no_orders,,,
921,SMB,2023-11-03,customer_no_orders,,,
922,Startup,2023-11-04,customer_no_orders,,,
923,SMB,2023-11-04,customer_no_orders,,,
924,SMB,2023-11-04,customer_no_orders,,,
925,Startup,2023-11-05,customer_no_orders,,,
926,Enterprise,2023-11-05,customer_no_orders,,,
927,Startup,2023-11-05,customer_no_orders,,,
928,Startup,2023-11-06,customer_no_orders,,,
929,Startup,2023-11-06,customer_no_orders,,,
930,Startup,2023-11-06,customer_no_orders,,,
931,Enterprise,2023-11-07,customer_no_orders,,,
932,SMB,2023-11-07,customer_no_orders,,,
933,Enterprise,2023-11-07,customer_no_orders,,,
934,Startup,2023-11-08,customer_no_orders,,,
935,Enterprise,2023-11-08,customer_no_orders,,,
936,Startup,2023-11-08,customer_no_orders,,,
937,Enterprise,2023-11-09,customer_no_orders,,,
938,Enterprise,2023-11-09,customer_no_orders,,,
939,Enterprise,2023-11-09,customer_no_orders,,,
940,Startup,2023-11-10,customer_no_orders,,,
941,Startup,2023-11-10,customer_no_orders,,,
942,Startup,2023-11-10,customer_no_orders,,,
943,Startup,2023-11-11,customer_no_orders,,,
944,SMB,2023-11-11,customer_no_orders,,,
945,Enterprise,2023-11-11,customer_no_orders,,,
946,Enterprise,2023-11-12,customer_no_orders,,,
947,Enterprise,2023-11-12,customer_no_orders,,,
948,Enterprise,2023-11-12,customer_no_orders,,,
949,SMB,2023-11-13,customer_no_orders,,,
950,Startup,2023-11-13,customer_no_orders,,,
951,Startup,2023-11-13,customer_no_orders,,,
952,Startup,2023-11-14,customer_no_orders,,,
953,Enterprise,2023-11-14,customer_no_orders,,,
954,Enterprise,2023-11-14,customer_no_orders,,,
955,Startup,2023-11-15,customer_no_orders,,,
956,Startup,2023-11-15,customer_no_orders,,,
957,Startup,2023-11-15,customer_no_orders,,,
958,Enterprise,2023-11-16,customer_no_orders,,,
959,Enterprise,2023-11-16,customer_no_orders,,,
960,SMB,2023-11-16,customer_no_orders,,,
961,Enterprise,2023-11-17,customer_no_orders,,,
962,Startup,2023-11-17,customer_no_orders,,,
963,Enterprise,2023-11-17,customer_no_orders,,,
964,Startup,2023-11-18,customer_no_orders,,,
965,Startup,2023-11-18,customer_no_orders,,,
966,Startup,2023-11-18,customer_no_orders,,,
967,SMB,2023-11-19,customer_no_orders,,,
968,Startup,2023-11-19,customer_no_orders,,,
969,Startup,2023-11-19,customer_no_orders,,,
970,Startup,2023-11-20,customer_no_orders,,,
971,Startup,2023-11-20,customer_no_orders,,,
972,Enterprise,2023-11-20,customer_no_orders,,,
973,SMB,2023-11-21,customer_no_orders,,,
974,Enterprise,2023-11-21,customer_no_orders,,,
975,Enterprise,2023-11-21,customer_no_orders,,,
976,Startup,2023-11-22,customer_no_orders,,,
977,Startup,2023-11-22,customer_no_orders,,,
978,Enterprise,2023-11-22,customer_no_orders,,,
979,Startup,2023-11-23,customer_no_orders,,,
980,Startup,2023-11-23,customer_no_orders,,,
981,Startup,2023-11-23,customer_no_orders,,,
982,SMB,2023-11-24,customer_no_orders,,,
983,Enterprise,2023-11-24,customer_no_orders,,,
984,Enterprise,2023-11-24,customer_no_orders,,,
985,SMB,2023-11-25,customer_no_orders,,,
986,Startup,2023-11-25,customer_no_orders,,,
987,Startup,2023-11-25,customer_no_orders,,,
988,Startup,2023-11-26,customer_no_orders,,,
989,Enterprise,2023-11-26,customer_no_orders,,,
990,SMB,2023-11-26,customer_no_orders,,,
991,SMB,2023-11-27,customer_no_orders,,,
992,Startup,2023-11-27,customer_no_orders,,,
993,Startup,2023-11-27,customer_no_orders,,,
994,Startup,2023-11-28,customer_no_orders,,,
995,Startup,2023-11-28,customer_no_orders,,,
996,Enterprise,2023-11-28,customer_no_orders,,,
997,Enterprise,2023-11-29,customer_no_orders,,,
998,Enterprise,2023-11-29,customer_no_orders,,,
999,Enterprise,2023-11-29,customer_no_orders,,,
1000,Startup,2023-11-30,customer_no_orders,,,
1006,,,orphaned_order,50054.0,2024-01-02,144.29
1011,,,orphaned_order,50133.0,2024-01-05,206.62
1004,,,orphaned_order,50154.0,2024-01-05,75.76
1001,,,orphaned_order,50186.0,2024-01-06,89.56
1002,,,orphaned_order,50193.0,2024-01-07,39.76
1019,,,orphaned_order,50202.0,2024-01-07,150.52
1013,,,orphaned_order,50305.0,2024-01-10,408.02
1016,,,orphaned_order,50388.0,2024-01-13,97.92
1019,,,orphaned_order,50457.0,2024-01-15,40.77
1008,,,orphaned_order,50477.0,2024-01-15,107.32
1003,,,orphaned_order,50729.0,2024-01-23,61.43
1010,,,orphaned_order,50739.0,2024-01-24,220.48
1007,,,orphaned_order,51002.0,2024-02-01,87.41
1005,,,orphaned_order,51329.0,2024-02-11,123.57
1009,,,orphaned_order,51591.0,2024-02-19,357.63
1017,,,orphaned_order,51659.0,2024-02-21,218.6
1014,,,orphaned_order,51697.0,2024-02-23,317.34
1011,,,orphaned_order,51713.0,2024-02-23,37.09
1003,,,orphaned_order,51913.0,2024-02-29,179.61
1007,,,orphaned_order,52002.0,2024-03-03,280.37
1018,,,orphaned_order,52049.0,2024-03-05,118.12
1016,,,orphaned_order,52145.0,2024-03-08,286.1
1003,,,orphaned_order,52584.0,2024-03-21,31.93
1017,,,orphaned_order,52793.0,2024-03-28,87.27
1003,,,orphaned_order,52812.0,2024-03-28,56.09
1001,,,orphaned_order,52913.0,2024-04-01,361.38
1020,,,orphaned_order,53017.0,2024-04-04,72.86
1018,,,orphaned_order,53027.0,2024-04-04,37.46
1013,,,orphaned_order,53085.0,2024-04-06,148.51
1006,,,orphaned_order,53169.0,2024-04-09,15.53
1008,,,orphaned_order,53487.0,2024-04-18,329.92
1019,,,orphaned_order,53557.0,2024-04-21,270.46
1014,,,orphaned_order,53615.0,2024-04-22,28.81
1007,,,orphaned_order,53669.0,2024-04-24,408.92
1005,,,orphaned_order,53735.0,2024-04-26,177.68
1016,,,orphaned_order,53744.0,2024-04-26,23.31
1006,,,orphaned_order,53793.0,2024-04-28,285.95
1008,,,orphaned_order,53874.0,2024-05-01,35.5
1016,,,orphaned_order,53917.0,2024-05-02,68.39
1009,,,orphaned_order,54192.0,2024-05-10,92.55
