signup_date,signups,email_verified,first_purchase,conversion_pct
2023-11-30,1,1,0,0.0
2023-11-29,3,3,0,0.0
2023-11-28,3,3,0,0.0
2023-11-27,3,3,0,0.0
2023-11-26,3,3,0,0.0
2023-11-25,3,3,0,0.0
2023-11-24,3,3,0,0.0
2023-11-23,3,3,0,0.0
2023-11-22,3,3,0,0.0
2023-11-21,3,3,0,0.0
2023-11-20,3,3,0,0.0
2023-11-19,3,3,0,0.0
2023-11-18,3,3,0,0.0
2023-11-17,3,3,0,0.0
2023-11-16,3,3,0,0.0
2023-11-15,3,3,0,0.0
2023-11-14,3,3,0,0.0
2023-11-13,3,3,0,0.0
2023-11-12,3,3,0,0.0
2023-11-11,3,3,0,0.0
2023-11-10,3,3,0,0.0
2023-11-09,3,3,0,0.0
2023-11-08,3,3,0,0.0
2023-11-07,3,3,0,0.0
2023-11-06,3,3,0,0.0
2023-11-05,3,3,0,0.0
2023-11-04,3,3,0,0.0
2023-11-03,3,3,0,0.0
2023-11-02,3,3,0,0.0
2023-11-01,3,3,0,0.0
2023-10-31,3,3,0,0.0
2023-10-30,3,3,0,0.0
2023-10-29,3,3,0,0.0
2023-10-28,3,3,0,0.0
2023-10-27,3,3,3,100.0
2023-10-26,3,3,3,100.0
2023-10-25,3,3,3,100.0
2023-10-24,3,3,3,100.0
2023-10-23,3,3,3,100.0
2023-10-22,3,3,3,100.0
2023-10-21,3,3,3,100.0
2023-10-20,3,3,3,100.0
2023-10-19,3,3,3,100.0
2023-10-18,3,3,3,100.0
2023-10-17,3,3,3,100.0
2023-10-16,3,3,3,100.0
2023-10-15,3,3,3,100.0
2023-10-14,3,3,3,100.0
2023-10-13,3,3,3,100.0
2023-10-12,3,3,3,100.0
2023-10-11,3,3,3,100.0
2023-10-10,3,3,3,100.0
2023-10-09,3,3,3,100.0
2023-10-08,3,3,3,100.0
2023-10-07,3,3,3,100.0
2023-10-06,3,3,3,100.0
2023-10-05,3,3,3,100.0
2023-10-04,3,3,3,100.0
2023-10-03,3,3,3,100.0
2023-10-02,3,3,3,100.0
2023-10-01,3,3,3,100.0
2023-09-30,3,3,3,100.0
2023-09-29,3,3,3,100.0
2023-09-28,3,3,2,66.7
2023-09-27,3,3,3,100.0
2023-09-26,3,3,3,100.0
2023-09-25,3,3,3,100.0
2023-09-24,3,3,3,100.0
2023-09-23,3,3,3,100.0
2023-09-22,3,3,3,100.0
2023-09-21,3,3,3,100.0
2023-09-20,3,3,3,100.0
2023-09-19,3,3,3,100.0
2023-09-18,3,3,3,100.0
2023-09-17,3,3,3,100.0
2023-09-16,3,3,3,100.0
2023-09-15,3,3,3,100.0
2023-09-14,3,3,3,100.0
2023-09-13,3,3,3,100.0
2023-09-12,3,3,3,100.0
2023-09-11,3,3,3,100.0
2023-09-10,3,3,3,100.0
2023-09-09,3,3,3,100.0
2023-09-08,3,3,3,100.0
2023-09-07,3,3,3,100.0
2023-09-06,3,3,3,100.0
2023-09-05,3,3,3,100.0
2023-09-04,3,3,3,100.0
2023-09-03,3,3,3,100.0
2023-09-02,3,3,3,100.0
2023-09-01,3,3,3,100.0
