customer_id,customer_name,customer_segment,order_count_30d,revenue_30d,days_since_order
175,Customer_175,B2C,4,1492.46,2
177,Customer_177,B2C,5,1240.66,2
371,Customer_371,B2B,1,1052.59,16
485,Customer_485,B2C,4,947.92,2
200,Customer_200,SMB,1,837.54,17
731,Customer_731,B2B,3,827.74,5
345,Customer_345,B2C,3,826.64,16
481,Customer_481,B2C,4,814.86,2
387,Customer_387,B2C,3,811.03,15
382,Customer_382,B2C,3,790.77,6
122,Customer_122,SMB,2,781.27,6
188,Customer_188,B2C,2,754.43,11
582,Customer_582,Enterprise,2,742.9,3
25,Customer_25,B2C,2,736.48,5
894,Customer_894,B2C,1,733.98,25
356,Customer_356,B2C,2,730.07,12
343,Customer_343,B2B,2,717.2,26
112,Customer_112,B2B,2,709.98,16
454,Customer_454,Enterprise,2,702.98,8
638,Customer_638,B2B,3,700.26,1
