customer_id,customer_name,customer_segment,region,signup_date
24,Customer_24,B2C,East,2023-01-08
51,Customer_51,Enterprise,South,2023-01-17
80,Customer_80,B2B,South,2023-01-27
133,Customer_133,B2B,South,2023-02-14
346,Customer_346,B2C,East,2023-04-26
539,Customer_539,B2C,West,2023-06-29
545,Customer_545,B2C,North,2023-07-01
697,Customer_697,B2C,East,2023-08-21
812,Customer_812,SMB,North,2023-09-28
901,Customer_901,B2B,East,2023-10-28
902,Customer_902,B2B,East,2023-10-28
903,Customer_903,B2B,Central,2023-10-28
904,Customer_904,B2C,East,2023-10-29
905,Customer_905,B2C,South,2023-10-29
906,Customer_906,SMB,South,2023-10-29
907,Customer_907,SMB,North,2023-10-30
908,Customer_908,B2C,South,2023-10-30
909,Customer_909,B2C,East,2023-10-30
910,Customer_910,B2C,South,2023-10-31
911,Customer_911,B2C,Central,2023-10-31
912,Customer_912,B2C,North,2023-10-31
913,Customer_913,B2C,East,2023-11-01
914,Customer_914,B2C,North,2023-11-01
915,Customer_915,B2C,East,2023-11-01
916,Customer_916,B2C,Central,2023-11-02
917,Customer_917,B2C,North,2023-11-02
918,Customer_918,Enterprise,West,2023-11-02
919,Customer_919,SMB,East,2023-11-03
920,Customer_920,B2B,West,2023-11-03
921,Customer_921,SMB,North,2023-11-03
922,Customer_922,B2C,West,2023-11-04
923,Customer_923,SMB,West,2023-11-04
924,Customer_924,SMB,North,2023-11-04
925,Customer_925,B2C,Central,2023-11-05
926,Customer_926,B2B,West,2023-11-05
927,Customer_927,B2C,West,2023-11-05
928,Customer_928,B2C,Central,2023-11-06
929,Customer_929,B2C,West,2023-11-06
930,Customer_930,B2C,West,2023-11-06
931,Customer_931,B2B,West,2023-11-07
932,Customer_932,SMB,South,2023-11-07
933,Customer_933,Enterprise,Central,2023-11-07
934,Customer_934,B2C,West,2023-11-08
935,Customer_935,B2B,Central,2023-11-08
936,Customer_936,B2C,East,2023-11-08
937,Customer_937,B2B,East,2023-11-09
938,Customer_938,Enterprise,West,2023-11-09
939,Customer_939,B2B,Central,2023-11-09
940,Customer_940,B2C,Central,2023-11-10
941,Customer_941,B2C,Central,2023-11-10
942,Customer_942,B2C,South,2023-11-10
943,Customer_943,B2C,East,2023-11-11
944,Customer_944,SMB,Central,2023-11-11
945,Customer_945,B2B,Central,2023-11-11
946,Customer_946,B2B,South,2023-11-12
947,Customer_947,B2B,South,2023-11-12
948,Customer_948,Enterprise,Central,2023-11-12
949,Customer_949,SMB,North,2023-11-13
950,Customer_950,B2C,Central,2023-11-13
951,Customer_951,B2C,Central,2023-11-13
952,Customer_952,B2C,South,2023-11-14
953,Customer_953,B2B,South,2023-11-14
954,Customer_954,Enterprise,Central,2023-11-14
955,Customer_955,B2C,Central,2023-11-15
956,Customer_956,B2C,Central,2023-11-15
957,Customer_957,B2C,South,2023-11-15
958,Customer_958,B2B,Central,2023-11-16
959,Customer_959,B2B,Central,2023-11-16
960,Customer_960,SMB,West,2023-11-16
961,Customer_961,B2B,North,2023-11-17
962,Customer_962,B2C,East,2023-11-17
963,Customer_963,B2B,North,2023-11-17
964,Customer_964,B2C,West,2023-11-18
965,Customer_965,B2C,East,2023-11-18
966,Customer_966,B2C,Central,2023-11-18
967,Customer_967,SMB,West,2023-11-19
968,Customer_968,B2C,Central,2023-11-19
969,Customer_969,B2C,South,2023-11-19
970,Customer_970,B2C,West,2023-11-20
971,Customer_971,B2C,South,2023-11-20
972,Customer_972,Enterprise,West,2023-11-20
973,Customer_973,SMB,West,2023-11-21
974,Customer_974,B2B,South,2023-11-21
975,Customer_975,B2B,East,2023-11-21
976,Customer_976,B2C,North,2023-11-22
977,Customer_977,B2C,Central,2023-11-22
978,Customer_978,B2B,West,2023-11-22
979,Customer_979,B2C,Central,2023-11-23
980,Customer_980,B2C,South,2023-11-23
981,Customer_981,B2C,Central,2023-11-23
982,Customer_982,SMB,South,2023-11-24
983,Customer_983,B2B,Central,2023-11-24
984,Customer_984,B2B,North,2023-11-24
985,Customer_985,SMB,North,2023-11-25
986,Customer_986,B2C,North,2023-11-25
987,Customer_987,B2C,North,2023-11-25
988,Customer_988,B2C,North,2023-11-26
989,Customer_989,B2B,North,2023-11-26
990,Customer_990,SMB,South,2023-11-26
991,Customer_991,SMB,West,2023-11-27
992,Customer_992,B2C,Central,2023-11-27
993,Customer_993,B2C,North,2023-11-27
994,Customer_994,B2C,South,2023-11-28
995,Customer_995,B2C,South,2023-11-28
996,Customer_996,B2B,South,2023-11-28
997,Customer_997,Enterprise,West,2023-11-29
998,Customer_998,B2B,Central,2023-11-29
999,Customer_999,Enterprise,West,2023-11-29
1000,Customer_1000,B2C,East,2023-11-30
