customer_id,transaction_count,annual_revenue
720,11,3282.16
480,10,2712.0
109,11,2598.76
494,10,2379.73
25,10,2320.4
571,10,2306.19
485,8,2259.09
355,11,2255.45
175,9,2224.21
582,9,2194.57
268,9,2190.33
758,11,2167.01
302,8,2131.61
111,13,2125.88
154,10,2125.18
837,8,2112.48
401,10,2088.25
134,5,2080.2
72,6,2075.6
313,9,2074.69
504,8,2066.8
751,7,2061.07
66,7,2049.11
164,10,2040.21
195,10,2035.19
303,7,2011.55
833,11,1995.8
658,9,1970.92
802,7,1951.65
118,9,1941.63
112,9,1940.26
202,6,1929.8
666,7,1909.5
450,9,1903.63
76,9,1897.13
664,8,1891.38
439,9,1888.87
605,6,1887.83
619,8,1880.9
606,10,1861.15
101,7,1859.97
247,10,1853.3
726,15,1829.15
371,5,1827.56
283,12,1822.61
520,9,1803.43
900,7,1795.62
685,11,1789.76
19,10,1775.42
835,6,1756.76
505,9,1753.71
443,7,1752.82
277,8,1741.18
220,8,1731.12
731,6,1709.67
859,5,1692.12
783,9,1687.04
156,10,1682.0
849,11,1680.11
490,8,1661.12
856,7,1652.87
620,7,1650.89
471,11,1650.75
560,6,1649.19
488,6,1647.3
161,6,1633.76
549,8,1631.22
499,8,1630.06
255,4,1625.07
73,13,1620.04
211,10,1617.78
887,7,1616.13
559,11,1613.27
343,10,1611.8
628,9,1610.96
772,8,1607.96
597,4,1607.06
314,11,1601.97
223,5,1598.47
380,5,1585.18
188,11,1583.08
125,7,1577.82
850,9,1574.67
872,5,1573.92
388,8,1572.0
528,10,1554.77
862,3,1548.91
390,8,1548.75
533,9,1547.24
139,7,1543.67
387,8,1543.08
573,11,1538.48
421,10,1534.35
8,8,1529.65
877,7,1526.49
602,8,1524.84
96,7,1507.19
251,5,1507.07
339,6,1503.9
288,7,1497.81
622,7,1493.46
128,7,1489.13
75,9,1487.22
542,10,1485.3
662,9,1482.65
884,8,1479.35
763,7,1478.82
364,10,1475.82
383,7,1471.81
416,7,1464.16
104,10,1461.73
438,7,1461.12
858,10,1456.13
360,7,1448.87
395,4,1447.56
337,7,1444.06
12,8,1442.43
87,7,1440.28
210,7,1436.2
129,10,1434.11
558,10,1433.85
832,7,1432.2
753,7,1431.34
855,9,1427.07
44,8,1426.53
369,7,1422.52
481,8,1420.29
224,4,1418.59
660,7,1415.89
233,6,1410.28
561,5,1407.98
43,7,1404.02
166,7,1396.76
459,4,1395.99
688,7,1393.65
113,10,1385.53
177,6,1376.66
651,7,1376.17
699,8,1374.39
22,8,1374.38
785,8,1370.67
149,5,1363.8
452,8,1362.3
730,5,1360.34
868,5,1355.87
800,7,1354.15
889,7,1352.65
427,7,1351.85
491,8,1349.61
540,11,1344.24
650,9,1343.97
891,8,1340.94
434,6,1340.26
33,3,1338.4
182,7,1335.84
881,11,1335.49
593,4,1332.38
285,3,1329.65
691,6,1329.46
209,5,1327.53
260,11,1324.62
424,7,1323.71
376,9,1321.19
235,8,1318.01
659,8,1313.34
820,6,1311.97
378,7,1311.82
694,7,1311.12
114,4,1308.68
367,8,1307.96
400,6,1305.71
564,4,1305.12
813,6,1304.78
588,8,1301.75
192,7,1299.57
