customer_type,month,order_count,monthly_revenue,avg_order_value,unique_customers,revenue_per_customer
B2C,2024-06-01,53,6561.65,123.8,50,131.23
B2B,2024-06-01,32,6345.46,198.3,29,218.81
SMB,2024-06-01,28,4608.47,164.59,26,177.25
Enterprise,2024-06-01,15,2487.58,165.84,14,177.68
B2C,2024-05-01,421,69658.91,165.46,261,266.89
B2B,2024-05-01,247,41501.7,168.02,147,282.32
SMB,2024-05-01,170,24904.4,146.5,116,214.69
Enterprise,2024-05-01,92,13447.69,146.17,59,227.93
B2C,2024-04-01,383,61888.69,161.59,246,251.58
B2B,2024-04-01,262,45089.05,172.1,165,273.27
SMB,2024-04-01,168,29220.7,173.93,107,273.09
Enterprise,2024-04-01,92,15729.35,170.97,60,262.16
B2C,2024-03-01,395,65266.94,165.23,252,259.0
B2B,2024-03-01,276,44758.82,162.17,160,279.74
SMB,2024-03-01,175,27139.54,155.08,112,242.32
Enterprise,2024-03-01,82,13466.54,164.23,55,244.85
B2C,2024-02-01,394,65648.04,166.62,258,254.45
B2B,2024-02-01,226,38179.32,168.94,146,261.5
SMB,2024-02-01,163,27500.79,168.72,107,257.02
Enterprise,2024-02-01,86,11714.47,136.21,51,229.7
B2C,2024-01-01,385,63487.88,164.9,235,270.16
B2B,2024-01-01,248,45571.89,183.76,150,303.81
SMB,2024-01-01,196,32137.18,163.97,107,300.35
Enterprise,2024-01-01,107,16645.93,155.57,67,248.45
