order_id,customer_id,amount,order_status,date,segment
50001,269,19.06,shipped,2024-01-01,B2C
50002,72,16.88,cancelled,2024-01-01,B2B
50003,797,332.8,shipped,2024-01-01,Enterprise
50004,126,21.92,completed,2024-01-01,B2C
50005,696,212.08,completed,2024-01-01,B2C
50006,823,323.34,completed,2024-01-01,B2C
50007,681,30.48,completed,2024-01-01,SMB
50008,513,100.99,completed,2024-01-01,Enterprise
50009,268,506.73,completed,2024-01-01,SMB
50010,891,284.49,pending,2024-01-01,SMB
50011,344,115.91,pending,2024-01-01,B2C
50012,355,230.68,completed,2024-01-01,B2B
50013,734,283.8,completed,2024-01-01,B2C
50014,720,79.16,completed,2024-01-01,SMB
50015,896,349.06,completed,2024-01-01,B2B
50016,10,110.37,shipped,2024-01-01,SMB
50017,365,127.56,completed,2024-01-01,Enterprise
50018,571,1235.63,completed,2024-01-01,B2C
50019,225,293.02,completed,2024-01-01,B2C
50020,102,82.36,completed,2024-01-01,B2C
50021,618,16.56,pending,2024-01-01,B2C
50022,267,162.59,completed,2024-01-01,B2C
50023,153,197.57,pending,2024-01-01,B2B
50024,837,172.82,completed,2024-01-01,Enterprise
50025,201,530.66,shipped,2024-01-01,B2C
50026,263,313.13,completed,2024-01-01,B2B
50027,113,104.36,completed,2024-01-01,Enterprise
50028,727,24.74,completed,2024-01-01,B2B
50029,559,111.96,completed,2024-01-01,SMB
50030,321,190.31,shipped,2024-01-01,B2C
50031,559,155.36,completed,2024-01-01,SMB
50032,53,130.87,pending,2024-01-01,Enterprise
50033,738,109.9,completed,2024-01-02,SMB
50034,505,67.17,shipped,2024-01-02,B2C
50035,726,63.72,completed,2024-01-02,SMB
50036,676,119.04,shipped,2024-01-02,Enterprise
50037,511,41.26,pending,2024-01-02,B2C
50038,700,77.48,completed,2024-01-02,B2C
50039,779,73.73,completed,2024-01-02,SMB
50040,398,147.69,completed,2024-01-02,B2C
50041,591,25.35,completed,2024-01-02,B2B
50042,706,280.5,completed,2024-01-02,Enterprise
50043,694,138.96,completed,2024-01-02,B2B
50044,91,181.68,pending,2024-01-02,B2B
50045,760,197.15,pending,2024-01-02,SMB
50046,826,66.69,shipped,2024-01-02,Enterprise
50047,376,110.34,completed,2024-01-02,B2C
50048,98,484.38,shipped,2024-01-02,B2C
50049,316,233.32,completed,2024-01-02,B2C
50050,772,538.78,completed,2024-01-02,SMB
50051,456,220.71,completed,2024-01-02,B2C
50052,45,43.96,pending,2024-01-02,B2C
50053,546,25.01,shipped,2024-01-02,B2C
50054,1006,144.29,completed,2024-01-02,Unknown
50055,10,81.43,shipped,2024-01-02,SMB
