customer_id,customer_name,customer_segment,region,signup_date
1,Customer_1,B2C,West,2023-01-01
2,Customer_2,Enterprise,East,2023-01-01
3,Customer_3,SMB,Central,2023-01-01
4,Customer_4,B2C,North,2023-01-02
5,Customer_5,B2B,Central,2023-01-02
6,Customer_6,B2B,North,2023-01-02
7,Customer_7,B2B,South,2023-01-03
8,Customer_8,SMB,North,2023-01-03
9,Customer_9,B2C,West,2023-01-03
10,Customer_10,SMB,East,2023-01-04
11,Customer_11,B2B,South,2023-01-04
12,Customer_12,Enterprise,North,2023-01-04
13,Customer_13,SMB,Central,2023-01-05
14,Customer_14,B2B,South,2023-01-05
15,Customer_15,B2B,South,2023-01-05
16,Customer_16,B2B,North,2023-01-06
17,Customer_17,B2C,South,2023-01-06
18,Customer_18,B2C,Central,2023-01-06
19,Customer_19,B2C,South,2023-01-07
20,Customer_20,B2C,Central,2023-01-07
21,Customer_21,B2C,North,2023-01-07
22,Customer_22,B2B,East,2023-01-08
23,Customer_23,B2C,South,2023-01-08
24,Customer_24,B2C,East,2023-01-08
25,Customer_25,B2C,Central,2023-01-09
26,Customer_26,SMB,South,2023-01-09
27,Customer_27,B2B,West,2023-01-09
28,Customer_28,B2C,East,2023-01-10
29,Customer_29,B2C,South,2023-01-10
30,Customer_30,B2B,East,2023-01-10
31,Customer_31,B2C,South,2023-01-11
32,Customer_32,B2B,North,2023-01-11
33,Customer_33,B2B,East,2023-01-11
34,Customer_34,Enterprise,West,2023-01-12
35,Customer_35,Enterprise,West,2023-01-12
36,Customer_36,SMB,Central,2023-01-12
37,Customer_37,B2C,South,2023-01-13
38,Customer_38,B2B,East,2023-01-13
39,Customer_39,B2C,Central,2023-01-13
40,Customer_40,B2C,East,2023-01-14
41,Customer_41,B2B,South,2023-01-14
42,Customer_42,B2C,West,2023-01-14
43,Customer_43,B2B,North,2023-01-15
44,Customer_44,Enterprise,West,2023-01-15
45,Customer_45,B2C,Central,2023-01-15
46,Customer_46,B2C,North,2023-01-16
47,Customer_47,B2C,Central,2023-01-16
48,Customer_48,B2C,South,2023-01-16
49,Customer_49,B2C,North,2023-01-17
50,Customer_50,B2B,Central,2023-01-17
51,Customer_51,Enterprise,South,2023-01-17
52,Customer_52,SMB,West,2023-01-18
53,Customer_53,Enterprise,South,2023-01-18
54,Customer_54,SMB,East,2023-01-18
55,Customer_55,B2C,South,2023-01-19
56,Customer_56,Enterprise,South,2023-01-19
57,Customer_57,B2B,East,2023-01-19
58,Customer_58,B2B,Central,2023-01-20
59,Customer_59,B2B,Central,2023-01-20
60,Customer_60,B2C,South,2023-01-20
61,Customer_61,B2C,East,2023-01-21
62,Customer_62,B2C,East,2023-01-21
63,Customer_63,SMB,West,2023-01-21
64,Customer_64,B2C,Central,2023-01-22
65,Customer_65,B2C,North,2023-01-22
66,Customer_66,B2C,Central,2023-01-22
67,Customer_67,B2B,Central,2023-01-23
68,Customer_68,SMB,West,2023-01-23
69,Customer_69,B2B,North,2023-01-23
70,Customer_70,Enterprise,West,2023-01-24
71,Customer_71,SMB,North,2023-01-24
72,Customer_72,B2B,South,2023-01-24
73,Customer_73,B2B,North,2023-01-25
74,Customer_74,SMB,West,2023-01-25
75,Customer_75,SMB,Central,2023-01-25
76,Customer_76,SMB,North,2023-01-26
77,Customer_77,SMB,North,2023-01-26
78,Customer_78,B2B,East,2023-01-26
79,Customer_79,B2C,Central,2023-01-27
80,Customer_80,B2B,South,2023-01-27
81,Customer_81,SMB,West,2023-01-27
82,Customer_82,B2C,South,2023-01-28
83,Customer_83,B2C,Central,2023-01-28
84,Customer_84,B2B,North,2023-01-28
85,Customer_85,B2C,North,2023-01-29
86,Customer_86,B2C,Central,2023-01-29
87,Customer_87,SMB,North,2023-01-29
88,Customer_88,B2C,North,2023-01-30
89,Customer_89,SMB,North,2023-01-30
90,Customer_90,B2C,West,2023-01-30
91,Customer_91,B2B,West,2023-01-31
92,Customer_92,SMB,East,2023-01-31
93,Customer_93,SMB,South,2023-01-31
94,Customer_94,B2C,Central,2023-02-01
95,Customer_95,SMB,Central,2023-02-01
96,Customer_96,B2C,Central,2023-02-01
97,Customer_97,B2C,East,2023-02-02
