customer_id,customer_name,total_transactions,purchase_count,total_spent,days_as_customer,days_since_last_purchase
1,Customer_1,8,8,1077.72,132,35
2,Customer_2,12,12,1310.98,465,215
3,Customer_3,17,17,640.35,300,81
4,Customer_4,16,16,1536.59,136,90
5,Customer_5,11,11,1101.41,101,8
6,Customer_6,10,10,506.95,50,29
7,Customer_7,12,12,2059.0,644,418
8,Customer_8,17,17,2664.69,151,115
9,Customer_9,12,12,1544.38,496,105
10,Customer_10,13,13,1256.53,244,135
11,Customer_11,19,19,1687.65,360,196
12,Customer_12,10,10,1259.01,488,314
13,Customer_13,15,15,1643.13,117,75
14,Customer_14,12,12,415.83,402,217
15,Customer_15,15,15,1566.57,129,21
16,Customer_16,10,10,1499.93,693,394
17,Customer_17,15,15,1442.73,160,101
18,Customer_18,13,13,429.69,691,457
19,Customer_19,17,17,2496.84,338,192
20,Customer_20,16,16,899.38,373,227
21,Customer_21,16,16,1041.38,521,177
22,Customer_22,11,11,555.82,443,99
23,Customer_23,8,8,609.47,415,36
24,Customer_24,14,14,1992.15,221,96
25,Customer_25,13,13,1371.56,306,152
26,Customer_26,12,12,681.08,190,151
27,Customer_27,10,10,1610.64,489,190
28,Customer_28,18,18,2904.03,343,224
29,Customer_29,11,11,1759.34,51,37
30,Customer_30,19,19,1178.25,282,12
31,Customer_31,13,13,1234.25,590,369
32,Customer_32,13,13,2309.75,504,183
33,Customer_33,13,13,1880.61,88,13
34,Customer_34,18,18,525.8,540,279
35,Customer_35,8,8,280.85,711,217
36,Customer_36,13,13,1259.82,505,355
37,Customer_37,18,18,2986.72,729,273
38,Customer_38,16,16,1735.98,219,113
39,Customer_39,12,12,1225.93,716,62
40,Customer_40,11,11,454.83,592,84
41,Customer_41,10,10,1268.01,596,368
42,Customer_42,11,11,1676.69,273,217
43,Customer_43,18,18,1511.37,534,342
44,Customer_44,10,10,1452.2,160,13
45,Customer_45,11,11,1919.43,514,187
46,Customer_46,11,11,622.42,676,19
47,Customer_47,8,8,848.93,50,36
48,Customer_48,11,11,764.57,196,140
49,Customer_49,10,10,1478.92,303,189
50,Customer_50,13,13,1488.85,417,233
51,Customer_51,14,14,1727.04,630,403
52,Customer_52,21,21,3122.21,345,76
53,Customer_53,11,11,950.13,43,9
54,Customer_54,13,13,2168.91,271,199
55,Customer_55,15,15,1614.29,375,284
56,Customer_56,17,17,841.21,594,206
57,Customer_57,8,8,1062.91,369,223
58,Customer_58,12,12,1775.47,121,52
59,Customer_59,11,11,815.08,396,144
60,Customer_60,11,11,1736.49,484,373
61,Customer_61,13,13,2150.88,457,69
