hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,1171.59,0.0,1188.85,253.49,1003.59,1165.5700000000002,928.0799999999999
1,411.79999999999995,672.71,632.48,528.48,1244.29,891.25,1885.31
2,163.21,423.79,951.82,2315.54,263.65,536.61,970.1500000000001
3,156.7,854.4100000000001,1125.25,0.0,560.3199999999999,685.5,688.23
4,627.88,189.04,800.36,1568.38,616.1600000000001,462.65,767.23
5,1807.71,12.21,475.5,304.36,1060.04,1075.78,91.23
6,287.34,710.72,684.3599999999999,1377.67,262.74,0.0,1120.25
7,0.0,690.8,431.16,1070.26,439.09000000000003,178.21,713.11
8,408.66,1124.87,109.02,1476.97,537.77,1017.95,631.07
9,1340.87,272.13,1084.28,340.15,1332.06,245.13,533.55
10,1257.82,777.18,812.91,1096.19,950.24,2105.03,438.21
11,419.52,159.14,1826.69,1053.44,371.9,456.72,201.45
12,458.84,1222.36,1689.2,0.0,253.09,1473.95,1000.92
13,986.04,682.05,1597.35,324.63,344.29,113.86,825.56
14,1004.3299999999999,1701.26,422.58,730.54,2014.99,1266.06,465.89
15,629.9200000000001,543.56,453.04,2386.1,531.02,744.55,521.1800000000001
16,390.91,827.1700000000001,134.55,930.69,83.72,567.11,479.96000000000004
17,169.95,917.61,27.56,1690.96,672.21,404.08,1060.67
18,496.75,299.41999999999996,496.08000000000004,790.1500000000001,808.75,1029.62,455.63
19,1639.53,493.39,1567.47,962.36,1563.71,262.88,0.0
20,712.77,265.79,443.98,611.37,0.0,936.8199999999999,1079.1
21,1463.35,1789.69,1860.9,444.51,653.97,1393.66,995.0999999999999
22,303.71999999999997,1198.16,840.01,661.1,195.04000000000002,792.44,168.02
23,623.04,315.13,1618.79,1048.18,1072.39,58.93,141.25
