customer_id,customer_name,total_transactions,purchase_count,total_spent,days_as_customer,days_since_last_purchase,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
1,Customer_1,8,8,1077.72,132,35,1.82,134.72,244.94,low,Q2,5,1,3,9
2,Customer_2,12,12,1310.98,465,215,0.77,109.25,84.58,low,Q3,2,3,3,8
3,Customer_3,17,17,640.35,300,81,1.7,37.67,64.04,low,Q1,4,5,1,10
4,Customer_4,16,16,1536.59,136,90,3.53,96.04,338.95,medium,Q3,3,5,4,12
5,Customer_5,11,11,1101.41,101,8,3.27,100.13,327.15,medium,Q2,5,2,3,10
6,Customer_6,10,10,506.95,50,29,6.0,50.7,304.17,medium,Q1,5,2,1,8
7,Customer_7,12,12,2059.0,644,418,0.56,171.58,95.92,low,Q4,1,3,5,9
8,Customer_8,17,17,2664.69,151,115,3.38,156.75,529.41,medium,Q4,3,5,5,13
9,Customer_9,12,12,1544.38,496,105,0.73,128.7,93.41,low,Q3,3,3,4,10
10,Customer_10,13,13,1256.53,244,135,1.6,96.66,154.49,low,Q3,3,3,3,9
11,Customer_11,19,19,1687.65,360,196,1.58,88.82,140.64,low,Q4,2,5,4,11
12,Customer_12,10,10,1259.01,488,314,0.61,125.9,77.4,low,Q3,1,2,3,6
13,Customer_13,15,15,1643.13,117,75,3.85,109.54,421.32,medium,Q3,4,4,4,12
14,Customer_14,12,12,415.83,402,217,0.9,34.65,31.03,low,Q1,2,3,1,6
15,Customer_15,15,15,1566.57,129,21,3.49,104.44,364.32,medium,Q3,5,4,4,13
16,Customer_16,10,10,1499.93,693,394,0.43,149.99,64.93,low,Q3,1,2,4,7
17,Customer_17,15,15,1442.73,160,101,2.81,96.18,270.51,medium,Q3,3,4,4,11
18,Customer_18,13,13,429.69,691,457,0.56,33.05,18.66,low,Q1,1,3,1,5
19,Customer_19,17,17,2496.84,338,192,1.51,146.87,221.61,low,Q4,2,5,5,12
20,Customer_20,16,16,899.38,373,227,1.29,56.21,72.34,low,Q2,2,5,2,9
21,Customer_21,16,16,1041.38,521,177,0.92,65.09,59.96,low,Q2,2,5,3,10
22,Customer_22,11,11,555.82,443,99,0.74,50.53,37.64,low,Q1,3,2,1,6
23,Customer_23,8,8,609.47,415,36,0.58,76.18,44.06,low,Q1,4,1,1,6
24,Customer_24,14,14,1992.15,221,96,1.9,142.3,270.43,low,Q4,3,4,5,12
25,Customer_25,13,13,1371.56,306,152,1.27,105.5,134.47,low,Q3,3,3,4,10
26,Customer_26,12,12,681.08,190,151,1.89,56.76,107.54,low,Q1,3,3,2,8
27,Customer_27,10,10,1610.64,489,190,0.61,161.06,98.81,low,Q3,2,2,4,8
28,Customer_28,18,18,2904.03,343,224,1.57,161.34,254.0,low,Q4,2,5,5,12
29,Customer_29,11,11,1759.34,51,37,6.47,159.94,1034.91,medium,Q4,4,2,4,10
30,Customer_30,19,19,1178.25,282,12,2.02,62.01,125.35,medium,Q2,5,5,3,13
31,Customer_31,13,13,1234.25,590,369,0.66,94.94,62.76,low,Q3,1,3,3,7
32,Customer_32,13,13,2309.75,504,183,0.77,177.67,137.49,low,Q4,2,3,5,10
33,Customer_33,13,13,1880.61,88,13,4.43,144.66,641.12,medium,Q4,5,3,5,13
34,Customer_34,18,18,525.8,540,279,1.0,29.21,29.21,low,Q1,1,5,1,7
35,Customer_35,8,8,280.85,711,217,0.34,35.11,11.85,low,Q1,2,1,1,4
36,Customer_36,13,13,1259.82,505,355,0.77,96.91,74.84,low,Q3,1,3,3,7
37,Customer_37,18,18,2986.72,729,273,0.74,165.93,122.91,low,Q4,2,5,5,12
38,Customer_38,16,16,1735.98,219,113,2.19,108.5,237.81,medium,Q4,3,5,4,12
39,Customer_39,12,12,1225.93,716,62,0.5,102.16,51.37,low,Q2,4,3,3,10
40,Customer_40,11,11,454.83,592,84,0.56,41.35,23.05,low,Q1,4,2,1,7
41,Customer_41,10,10,1268.01,596,368,0.5,126.8,63.83,low,Q3,1,2,3,6
42,Customer_42,11,11,1676.69,273,217,1.21,152.43,184.25,low,Q4,2,2,4,8
43,Customer_43,18,18,1511.37,534,342,1.01,83.96,84.91,low,Q3,1,5,4,10
44,Customer_44,10,10,1452.2,160,13,1.88,145.22,272.29,low,Q3,5,2,4,11
45,Customer_45,11,11,1919.43,514,187,0.64,174.49,112.03,low,Q4,2,2,5,9
46,Customer_46,11,11,622.42,676,19,0.49,56.58,27.62,low,Q1,5,2,1,8
