customer_id,customer_name,customer_segment,region,signup_date,order_id,order_amount,order_status,order_date
1,Customer_1,B2C,West,2023-01-01,51464.0,69.54,completed,2024-02-15
1,Customer_1,B2C,West,2023-01-01,51870.0,186.35,completed,2024-02-28
1,Customer_1,B2C,West,2023-01-01,52077.0,169.4,completed,2024-03-05
1,Customer_1,B2C,West,2023-01-01,52475.0,40.42,completed,2024-03-18
1,Customer_1,B2C,West,2023-01-01,53609.0,187.75,shipped,2024-04-22
1,Customer_1,B2C,West,2023-01-01,53680.0,183.93,shipped,2024-04-24
1,Customer_1,B2C,West,2023-01-01,53737.0,181.81,completed,2024-04-26
2,Customer_2,Enterprise,East,2023-01-01,52559.0,180.38,cancelled,2024-03-20
3,Customer_3,SMB,Central,2023-01-01,50143.0,20.43,completed,2024-01-05
3,Customer_3,SMB,Central,2023-01-01,50733.0,286.26,shipped,2024-01-23
3,Customer_3,SMB,Central,2023-01-01,52754.0,490.45,completed,2024-03-27
3,Customer_3,SMB,Central,2023-01-01,53912.0,16.18,completed,2024-05-02
4,Customer_4,B2C,North,2023-01-02,50894.0,40.1,completed,2024-01-28
4,Customer_4,B2C,North,2023-01-02,50918.0,59.12,completed,2024-01-29
4,Customer_4,B2C,North,2023-01-02,51910.0,405.84,completed,2024-02-29
5,Customer_5,B2B,Central,2023-01-02,50395.0,104.13,completed,2024-01-13
5,Customer_5,B2B,Central,2023-01-02,51023.0,25.79,completed,2024-02-01
5,Customer_5,B2B,Central,2023-01-02,52024.0,104.15,completed,2024-03-04
5,Customer_5,B2B,Central,2023-01-02,52942.0,165.66,completed,2024-04-01
6,Customer_6,B2B,North,2023-01-02,51150.0,200.9,completed,2024-02-05
6,Customer_6,B2B,North,2023-01-02,51286.0,54.9,completed,2024-02-10
6,Customer_6,B2B,North,2023-01-02,51405.0,181.44,pending,2024-02-13
6,Customer_6,B2B,North,2023-01-02,52276.0,378.27,completed,2024-03-12
6,Customer_6,B2B,North,2023-01-02,52716.0,58.67,cancelled,2024-03-25
6,Customer_6,B2B,North,2023-01-02,53147.0,445.32,completed,2024-04-08
7,Customer_7,B2B,South,2023-01-03,51683.0,20.23,completed,2024-02-22
7,Customer_7,B2B,South,2023-01-03,51711.0,109.04,completed,2024-02-23
7,Customer_7,B2B,South,2023-01-03,53019.0,82.15,shipped,2024-04-04
7,Customer_7,B2B,South,2023-01-03,53022.0,224.43,shipped,2024-04-04
7,Customer_7,B2B,South,2023-01-03,53831.0,158.08,completed,2024-04-29
8,Customer_8,SMB,North,2023-01-03,50382.0,443.66,completed,2024-01-12
8,Customer_8,SMB,North,2023-01-03,50901.0,123.08,pending,2024-01-29
8,Customer_8,SMB,North,2023-01-03,50919.0,236.93,completed,2024-01-29
8,Customer_8,SMB,North,2023-01-03,52135.0,74.34,completed,2024-03-07
8,Customer_8,SMB,North,2023-01-03,52409.0,207.37,completed,2024-03-16
8,Customer_8,SMB,North,2023-01-03,52493.0,253.93,pending,2024-03-18
8,Customer_8,SMB,North,2023-01-03,53338.0,27.56,shipped,2024-04-14
8,Customer_8,SMB,North,2023-01-03,54155.0,162.78,completed,2024-05-09
9,Customer_9,B2C,West,2023-01-03,50099.0,221.34,shipped,2024-01-04
9,Customer_9,B2C,West,2023-01-03,52818.0,26.19,completed,2024-03-29
10,Customer_10,SMB,East,2023-01-04,50016.0,110.37,shipped,2024-01-01
10,Customer_10,SMB,East,2023-01-04,50055.0,81.43,shipped,2024-01-02
10,Customer_10,SMB,East,2023-01-04,51200.0,66.44,completed,2024-02-07
10,Customer_10,SMB,East,2023-01-04,53660.0,185.91,completed,2024-04-24
10,Customer_10,SMB,East,2023-01-04,53847.0,24.12,completed,2024-04-30
10,Customer_10,SMB,East,2023-01-04,54412.0,209.64,completed,2024-05-17
11,Customer_11,B2B,South,2023-01-04,51802.0,84.34,completed,2024-02-26
11,Customer_11,B2B,South,2023-01-04,54764.0,285.81,completed,2024-05-28
12,Customer_12,Enterprise,North,2023-01-04,50372.0,218.64,completed,2024-01-12
12,Customer_12,Enterprise,North,2023-01-04,50820.0,421.16,completed,2024-01-26
12,Customer_12,Enterprise,North,2023-01-04,52263.0,400.34,completed,2024-03-11
12,Customer_12,Enterprise,North,2023-01-04,52377.0,83.3,pending,2024-03-15
12,Customer_12,Enterprise,North,2023-01-04,52454.0,181.96,completed,2024-03-17
12,Customer_12,Enterprise,North,2023-01-04,52801.0,49.31,completed,2024-03-28
12,Customer_12,Enterprise,North,2023-01-04,53342.0,64.74,completed,2024-04-14
12,Customer_12,Enterprise,North,2023-01-04,54007.0,22.98,completed,2024-05-05
13,Customer_13,SMB,Central,2023-01-05,50373.0,296.17,completed,2024-01-12
13,Customer_13,SMB,Central,2023-01-05,50578.0,32.56,completed,2024-01-19
13,Customer_13,SMB,Central,2023-01-05,50598.0,226.46,shipped,2024-01-19
13,Customer_13,SMB,Central,2023-01-05,50936.0,63.83,shipped,2024-01-30
13,Customer_13,SMB,Central,2023-01-05,50960.0,59.89,completed,2024-01-30
13,Customer_13,SMB,Central,2023-01-05,51895.0,78.94,cancelled,2024-02-29
13,Customer_13,SMB,Central,2023-01-05,52026.0,76.94,completed,2024-03-04
13,Customer_13,SMB,Central,2023-01-05,52040.0,176.01,pending,2024-03-04
13,Customer_13,SMB,Central,2023-01-05,52845.0,130.01,completed,2024-03-29
13,Customer_13,SMB,Central,2023-01-05,53345.0,226.63,shipped,2024-04-14
14,Customer_14,B2B,South,2023-01-05,50153.0,65.86,completed,2024-01-05
14,Customer_14,B2B,South,2023-01-05,50360.0,163.13,pending,2024-01-12
14,Customer_14,B2B,South,2023-01-05,53106.0,227.87,completed,2024-04-07
14,Customer_14,B2B,South,2023-01-05,54407.0,17.94,completed,2024-05-17
15,Customer_15,B2B,South,2023-01-05,50503.0,35.23,shipped,2024-01-16
15,Customer_15,B2B,South,2023-01-05,52064.0,270.39,completed,2024-03-05
15,Customer_15,B2B,South,2023-01-05,52138.0,214.04,completed,2024-03-07
15,Customer_15,B2B,South,2023-01-05,53176.0,256.41,completed,2024-04-09
16,Customer_16,B2B,North,2023-01-06,51094.0,143.73,completed,2024-02-04
16,Customer_16,B2B,North,2023-01-06,51969.0,67.98,completed,2024-03-02
16,Customer_16,B2B,North,2023-01-06,52581.0,16.52,completed,2024-03-21
16,Customer_16,B2B,North,2023-01-06,54215.0,145.57,completed,2024-05-11
17,Customer_17,B2C,South,2023-01-06,50679.0,252.56,completed,2024-01-22
17,Customer_17,B2C,South,2023-01-06,51261.0,53.79,completed,2024-02-09
17,Customer_17,B2C,South,2023-01-06,51269.0,109.54,completed,2024-02-09
17,Customer_17,B2C,South,2023-01-06,51440.0,21.32,completed,2024-02-14
17,Customer_17,B2C,South,2023-01-06,53646.0,94.6,completed,2024-04-23
17,Customer_17,B2C,South,2023-01-06,54851.0,90.86,shipped,2024-05-31
18,Customer_18,B2C,Central,2023-01-06,52450.0,85.95,completed,2024-03-17
18,Customer_18,B2C,Central,2023-01-06,54660.0,248.86,completed,2024-05-25
19,Customer_19,B2C,South,2023-01-07,50114.0,216.45,shipped,2024-01-04
19,Customer_19,B2C,South,2023-01-07,50567.0,38.98,completed,2024-01-18
19,Customer_19,B2C,South,2023-01-07,50981.0,694.03,completed,2024-01-31
19,Customer_19,B2C,South,2023-01-07,51243.0,97.0,pending,2024-02-08
19,Customer_19,B2C,South,2023-01-07,51297.0,258.73,completed,2024-02-10
19,Customer_19,B2C,South,2023-01-07,52940.0,192.74,shipped,2024-04-01
19,Customer_19,B2C,South,2023-01-07,53398.0,107.06,completed,2024-04-16
19,Customer_19,B2C,South,2023-01-07,53673.0,60.87,completed,2024-04-24
19,Customer_19,B2C,South,2023-01-07,54068.0,34.65,completed,2024-05-07
