customer_id,name,revenue,age,transactions,revenue_normalized,revenue_zscore,revenue_rank
42666,Customer_42666,5187.36,36,21,1.0,21.001103127395492,1
182514,Customer_182514,5147.68,52,23,0.9923135930078493,20.827604152872006,2
173067,Customer_173067,4920.63,19,6,0.9483317707405141,19.834838473296436,3
161368,Customer_161368,4332.62,70,18,0.834428439705871,17.26379179966847,4
295829,Customer_295829,4316.35,18,6,0.8312767803872648,17.19265197316905,5
135050,Customer_135050,4112.5,64,38,0.7917890267242115,16.301327226278584,6
90929,Customer_90929,3939.11,62,30,0.7582016752028143,15.543187428077275,7
400244,Customer_400244,3842.62,36,12,0.739510611425782,15.121289342095126,8
668185,Customer_668185,3749.18,70,21,0.7214103627023299,14.712727240797875,9
583034,Customer_583034,3609.12,30,7,0.6942793606025152,14.100321334251502,10
38588,Customer_38588,3568.16,61,38,0.6863450049977142,13.92122561861435,11
878236,Customer_878236,3540.49,38,27,0.6809850533476937,13.800239816571382,12
856929,Customer_856929,3509.91,51,27,0.6750614060236017,13.666530173402826,13
266452,Customer_266452,3361.1,45,33,0.6462354427044995,13.015865294399786,14
863651,Customer_863651,3356.47,53,37,0.6453385660821794,12.995620832402714,15
661724,Customer_661724,3336.58,22,1,0.6414856770934224,12.908652722441218,16
754665,Customer_754665,3320.33,19,36,0.6383378919718888,12.837600345021693,17
57014,Customer_57014,3300.95,62,4,0.6345837950084845,12.75286218659767,18
797081,Customer_797081,3261.76,59,34,0.6269923058446137,12.581505714531755,19
614110,Customer_614110,3259.6,33,22,0.6265738925607668,12.57206121390245,20
11590,Customer_11590,3239.53,71,5,0.6226861357983559,12.484306062221846,21
352844,Customer_352844,3227.06,21,22,0.6202705739235543,12.4297815609036,22
741567,Customer_741567,3197.33,49,22,0.6145115799750502,12.299788503630833,23
346159,Customer_346159,3137.78,45,23,0.602976158191215,12.039408868225747,24
205726,Customer_205726,3131.56,46,7,0.6017712829016186,12.01221220437655,25
33807,Customer_33807,3128.65,65,27,0.6012075872275472,11.999488363250961,26
46120,Customer_46120,3124.34,37,18,0.6003726977583896,11.980643086532307,27
233085,Customer_233085,3107.39,33,15,0.597089315739313,11.906529991316248,28
504402,Customer_504402,3094.37,49,34,0.5945672134450135,11.849600640300729,29
173236,Customer_173236,3084.7,25,15,0.592694039160384,11.807319010168616,30
421507,Customer_421507,3073.6,54,8,0.5905438597850595,11.758784770823588,31
959362,Customer_959362,3070.1,61,25,0.5898658752973447,11.743481181840922,32
697180,Customer_697180,3068.39,38,39,0.5895346314476325,11.73600428550939,33
956069,Customer_956069,3065.05,73,20,0.5888876405364989,11.721400289165931,34
106688,Customer_106688,3055.8,63,38,0.5870958243903952,11.680955089711741,35
797367,Customer_797367,3036.4,26,26,0.5833378532299182,11.596129482207816,36
71360,Customer_71360,3027.8,20,32,0.5816719484886758,11.558526377850407,37
766581,Customer_766581,3023.62,31,6,0.5808622413004905,11.540249520151107,38
8092,Customer_8092,3023.6,34,2,0.5808583671034179,11.540162071071206,39
251221,Customer_251221,2968.78,27,3,0.5702391929272659,11.300464143062696,40
485094,Customer_485094,2959.02,29,38,0.5683485847558094,11.25778899207103,41
396269,Customer_396269,2952.96,33,34,0.5671747030427944,11.231291920861041,42
434738,Customer_434738,2949.4,29,18,0.5664850959638615,11.215725984638672,43
140357,Customer_140357,2946.64,25,5,0.5659504567678348,11.203658011612339,44
856409,Customer_856409,2939.48,64,34,0.5645634942158239,11.1723512410078,45
348025,Customer_348025,2933.13,54,5,0.5633334366452554,11.144586158139246,46
467728,Customer_467728,2921.37,51,20,0.5610554087665331,11.093166099157486,47
743133,Customer_743133,2915.59,74,39,0.5599357658125355,11.067893315066112,48
970804,Customer_970804,2915.0,42,4,0.5598214769988921,11.065313567209033,49
291781,Customer_291781,2914.39,44,27,0.559703313988176,11.062646370272052,50
688207,Customer_688207,2906.54,73,20,0.5581826916371583,11.02832260641093,51
170319,Customer_170319,2884.63,45,28,0.5539385087440628,10.932522139379437,52
606230,Customer_606230,2877.64,64,15,0.5525844768671693,10.901958685954051,53
923999,Customer_923999,2847.6,43,26,0.5467654328640389,10.77061016794282,54
937685,Customer_937685,2845.27,74,37,0.5463140889050745,10.76042235013436,55
639264,Customer_639264,2841.48,31,28,0.545579928559806,10.743850749493129,56
520851,Customer_520851,2825.45,46,16,0.5424747596060716,10.673760311952515,57
820087,Customer_820087,2824.54,46,37,0.5422984836392658,10.669781378817023,58
894152,Customer_894152,2819.06,24,28,0.5412369536413578,10.645820330924161,59
