order_id,customer_id,segment,region,order_amount,order_status,order_date,churn_risk
50001,269,Starter,East,19.06,shipped,2024-01-01,High
50002,72,Mid-Market,South,16.88,cancelled,2024-01-01,High
50003,797,Enterprise,Central,332.8,shipped,2024-01-01,High
50004,126,Starter,South,21.92,completed,2024-01-01,High
50005,696,Starter,South,212.08,completed,2024-01-01,High
50006,823,Starter,West,323.34,completed,2024-01-01,High
50007,681,SMB,North,30.48,completed,2024-01-01,High
50008,513,Enterprise,North,100.99,completed,2024-01-01,High
50009,268,SMB,North,506.73,completed,2024-01-01,High
50010,891,SMB,West,284.49,pending,2024-01-01,High
50011,344,Starter,North,115.91,pending,2024-01-01,High
50012,355,Mid-Market,South,230.68,completed,2024-01-01,High
50013,734,Starter,Central,283.8,completed,2024-01-01,High
50014,720,SMB,South,79.16,completed,2024-01-01,High
50015,896,Mid-Market,West,349.06,completed,2024-01-01,High
50016,10,SMB,East,110.37,shipped,2024-01-01,High
50017,365,Enterprise,West,127.56,completed,2024-01-01,High
50018,571,Starter,South,1235.63,completed,2024-01-01,High
50019,225,Starter,East,293.02,completed,2024-01-01,High
50020,102,Starter,North,82.36,completed,2024-01-01,High
50021,618,Starter,Central,16.56,pending,2024-01-01,High
50022,267,Starter,West,162.59,completed,2024-01-01,High
50023,153,Mid-Market,South,197.57,pending,2024-01-01,High
50024,837,Enterprise,West,172.82,completed,2024-01-01,High
50025,201,Starter,East,530.66,shipped,2024-01-01,High
50026,263,Mid-Market,South,313.13,completed,2024-01-01,High
50027,113,Enterprise,South,104.36,completed,2024-01-01,High
50028,727,Mid-Market,North,24.74,completed,2024-01-01,High
50029,559,SMB,Central,111.96,completed,2024-01-01,High
50030,321,Starter,West,190.31,shipped,2024-01-01,High
50031,559,SMB,Central,155.36,completed,2024-01-01,High
50032,53,Enterprise,South,130.87,pending,2024-01-01,High
50033,738,SMB,South,109.9,completed,2024-01-02,High
50034,505,Starter,West,67.17,shipped,2024-01-02,High
50035,726,SMB,Central,63.72,completed,2024-01-02,High
50036,676,Enterprise,South,119.04,shipped,2024-01-02,High
50037,511,Starter,West,41.26,pending,2024-01-02,High
50038,700,Starter,West,77.48,completed,2024-01-02,High
